video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=mu6ATliYQNw&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KMBC,KMBC 9,Homeless shelters are struggling with overflow levels during Kansas City's extended stretch of ex...,350,5 days,Homeless shelters are struggling with overflow levels during Kansas City's extended stretch of extreme cold Subscribe to KMBC ...,2024-01-23 02:20:50.734703
/shorts/EoL2vCXTczg,/@KGWNews8,KGW News,Emergency #homeless shelters around #portland were closed too early during winter #weather,3.3K,2 days,Multnomah County and others jumped the gun on shutting down warming shelters this week after forecasts showed the region ...,2024-01-23 02:20:50.735674
/watch?v=WT0_HQrtklA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KPBS,KPBS Public Media,New homeless transition shelter featuring 'tiny homes' opens in Chula Vista,10K,8 months,A significant step toward addressing homelessness in San Diego County's second largest city today. A village of “tiny homes” is ...,2024-01-23 02:20:50.736889
/watch?v=5yZE-SfnYlo&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@Fox13now,FOX 13 News Utah,Provo emergency shelter program links homeless population to crucial services,878,11 months,Provo's Emergency Voucher Program has a message to those experiencing homelessness this winter: Come in from out of the ...,2024-01-23 02:20:50.737800
/watch?v=2PxQGLumv1o&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@kcalnews,KCAL News,A new homeless shelter opens in Long Beach,2.7K,8 months,The emergency shelter offers 85 beds just in time to fill a void of the April 30 closure of the winter shelter at Community Hospital.,2024-01-23 02:20:50.738679
/watch?v=cAVf3R9QU7Y&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@News19WLTX,News 19 WLTX,Homeless shelters brace for more occupants,943,1 year,With cold weather rolling into Columbia next week the city is expecting to see an increase in people wanting to use the rapid ...,2024-01-23 02:20:50.739555
/watch?v=Oft_8ZDCbSc&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CityNews,CityNews,New emergency homeless shelter & transitional housing facility opens in Edmonton,1.7K,1 year,An emergency shelter and transitional housing facility funded by the City of Edmonton opened it's doors Friday. Services are ...,2024-01-23 02:20:58.912084
/watch?v=KhbpYFDDgMQ&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CityNews,CityNews,Homeless shelters in Toronto hotels to start closing this spring,12K,1 year,Temporary sites set up for those without places to live during the COVID-19 pandemic will soon start shutting down.,2024-01-23 02:20:58.913801
/watch?v=RDKyBY44luQ&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@cbsboston,CBS Boston,14 shelters for homeless and women escaping abuse closing after state pulls funding,1.9K,1 year,WBZ-TV's Paul Burton reports.,2024-01-23 02:20:58.915431
/watch?v=dND_d7vI1DU&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@bbclondon,BBC London,Homeless: Temporary accommodation – BBC London News,107K,6 years,A temporary accommodation block for struggling families in south London was criticised in Parliament recently because the ...,2024-01-23 02:20:58.917156
/watch?v=bL2XjgUMSkw&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@kare11,KARE 11,'Gloria's Place' to open as an emergency shelter for homeless teen parents,833,3 years,"For 50 years, The Bridge For Youth has been providing services for runaway and homeless youth. The Minneapolis-based ...",2024-01-23 02:20:58.918996
/watch?v=JopmYJcR5RI&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KING5Seattle,KING 5 Seattle,New housing facility designed to help people escape homelessness opens,2.8K,1 year,Hobson Place provides a unique suite of healthcare services and a safe living space for those experiencing chronic ...,2024-01-23 02:20:58.920528
/watch?v=3DFIxXIRQBA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@11Alive,11Alive,Interior designer explains how to create a homeless shelter as a safe space,1.2K,4 years,Florida State professor Jill Pable is helping design a shelter for Atlanta Mission designed to house women and children set to start ...,2024-01-23 02:20:58.923631
/watch?v=InmYtxvepvg&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@WJZ13TV,WJZ,"Sarah's Hope Family Shelters and ""HERD"" support those experiencing homelessness",141,1 year,Some Baltimore volunteers gave back to those experiencing homelessness at Sarah's Hope Family Shelters.,2024-01-23 02:20:58.925408
/watch?v=EnuxJuBiEZA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@azfamily,AZFamily | Arizona News,Nonprofit converting Flagstaff motel into homeless shelter,1.6K,9 months,A nonprofit just bought a Flagstaff motel and will convert it into a shelter that has 100+ rooms for the homeless. For more Local ...,2024-01-23 02:20:58.927111
/watch?v=d8AofdeoDJw&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CityNews,CityNews,Homeless connect to long-term support,2.4K,4 years,A Toronto agency that helps the homeless connect to long-term support services held a special event at Ryerson University.,2024-01-23 02:20:58.928778
/watch?v=X3U6SZNtuSE&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@nbcwashington,NBC4 Washington,New Shelter for LGBTQ+ Experiencing Homelessness | NBC4 Washington,507,1 year,District leaders and members of the LGBTQ+ community celebrated the opening of a new shelter for adults experiencing ...,2024-01-23 02:20:58.930195
/watch?v=z02TJNGzHqA&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KCETOnline,KCET,Shelters are Failing Domestic Abuse Survivors | SoCal Update,704,2 years,"On the June 28 episode of “SoCal Update,” the biggest contributor to women becoming unhoused is intimate partner abuse.",2024-01-23 02:20:58.931071
/watch?v=cxhs7HgrRcg&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CBSNewYork,CBS New York,Homeless Shelter Security Increased,2.6K,7 years,CBS2's Brian Conybeare reports.,2024-01-23 02:20:58.931999
/watch?v=F-HYH0ZXPtQ&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@9news,9NEWS,Homeless shelters expand services ahead of cold snap,772,1 year,Denver is expecting freezing temperature three days in a row next week. The city and several homeless shelters are working to ...,2024-01-23 02:20:58.932991
/watch?v=zeAGF8viYCU&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@CBSChicago,CBS Chicago,Homeless Shelter Shut Down After CBS 2 Exposes Disgusting Living Conditions,7.1K,3 years,"CBS 2's Lauren Victory reports after CBS 2 brought to light the filthy conditions at a Chicago homeless shelter, it was closed by the ...",2024-01-23 02:20:58.934511
/watch?v=7slYUML75zI&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@Fox10Phoenix,FOX 10 Phoenix,New shelter in Phoenix opens with aim to help the city's homeless,4K,1 year,"The 200-bed shelter, which had a soft opening on May 13, is a collaborative effort between St. Vincent de Paul, Community ...",2024-01-23 02:20:58.940488
/watch?v=27PNnFVZBRU&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@cbs8sandiego,CBS 8 San Diego,New Rosecrans homeless shelter opens in the Midway District,1.2K,1 year,The Rosecrans shelter offers mental health and drug treatment services on-site.,2024-01-23 02:20:58.942597
/watch?v=lGqelgB3fE8&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@aljazeeraenglish,Al Jazeera English,New Yorkers slam police raids on homeless shelters,16K,1 year,"In the United States, opposition is growing over the way authorities are dealing with homelessness. Activists in New York City ...",2024-01-23 02:20:58.944318
/watch?v=PuiaQvRuo18&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@8NewsNowVegas,8 News Now — Las Vegas,WEB EXTRA: Day shelter opens at the Salvation Army homeless service campus,432,4 years,The Salvation Army just opened its new day shelter near Owens and Main Street. The purpose of the shelter is to help the ...,2024-01-23 02:20:58.945898
/watch?v=Ubu7aG4rcJs&pp=ygUmSG9tZWxlc3Mgc2hlbHRlcnMgYW5kIHN1cHBvcnQgc2VydmljZXM%3D,/@KVUETV,KVUE,Salvation Army Austin homeless shelter opening its doors to families | KVUE,528,3 years,"After months of setbacks, the Salvation Army is ready to open the 212-bed Rathgeber Center on Wednesday. STORY: ...",2024-01-23 02:20:58.948065
