video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=1Rz_TkpysKk&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@ABCNews,ABC News,The Seventh Generation: Youth at the Heart of the Standing Rock Protests | ABC News,108K weergaven,6 jaar geleden,"For months, the International Indigenous Youth Council has helped steer the Standing Rock Sioux Tribe's opposition to the ...",2024-01-22 20:08:52.732721
/watch?v=E6oVN_mWLpo&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@scandinaviahouse,Scandinavia House,End of the Line — The Women of Standing Rock Trailer,"1,2K weergaven",9 maanden geleden,"On April 14 at Scandinavia House, see acclaimed documentary filmmaker Shannon Kring's ""The End of the Line: The Women of ...",2024-01-22 20:08:52.739211
/watch?v=5MKWPWD3C-0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@IndianCountryToday,Indian Country Today,Dear Veterans: Welcome to Standing Rock,59K weergaven,7 jaar geleden,Dear Veterans: Welcome to Standing Rock by Longhouse Media.,2024-01-22 20:08:52.756871
/watch?v=hlvIwU8662w&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@lakotalaw,Lakota Peoples Law Project,No DAPL: Horses of Standing Rock,"4,7K weergaven",7 jaar geleden,"My brain isn't working today, in this weird surreal haze the only thing I could edit was horses, dogs, and a bunny... More content to ...",2024-01-22 20:08:52.758607
/watch?v=uhVwVHC6_n0&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@parkwayworship,Parkway Worship Ministry,The Solid Rock - from The Hymns Project (Lyric Video),1 mln. weergaven,6 jaar geleden,The Solid Rock Words by Edward Mote Music by William B. Bradbury Arranged by Phil Nitz from the collection The Hymns Project: ...,2024-01-22 20:08:52.760910
/watch?v=Vr2zE69jIcQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCTheNational,CBC News: The National,Standing Rock and Sioux Nation,"9,1K weergaven",7 jaar geleden,Voice Your Opinion & Connect With Us Online: The National Updates on Facebook: https://www.facebook.com/thenational The ...,2024-01-22 20:08:52.762856
/watch?v=4FDuqYld8C8&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@dividedfilms2413,Divided Films,Mni Wiconi: The Stand at Standing Rock,313K weergaven,7 jaar geleden,Mni Wiconi features water protectors from the Standing Rock Sioux Tribe and allies trying to stop the 1100-mile Dakota Access ...,2024-01-22 20:08:52.764757
/watch?v=wD3-6JIUF7M&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@TED,TED,The Standing Rock resistance and our fight for indigenous rights | Tara Houska,195K weergaven,5 jaar geleden,"Still invisible and often an afterthought, indigenous peoples are uniting to protect the world's water, lands and history -- while ...",2024-01-22 20:08:52.767802
/watch?v=yGmwgi1yblQ&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/channel/UCHAyiHSDajCsHBGtdaPA95g,Raye Zaragoza,Driving to Standing Rock - Raye Zaragoza (Official Music Video),18K weergaven,5 jaar geleden,Driving to Standing Rock is about the joy & power of being a part of collective change. It is about the excitement of finding people ...,2024-01-22 20:09:02.023129
/watch?v=LOLu3N_TeVM&pp=ygUNc3RhbmRpbmcgcm9jaw%3D%3D,/@CBCNews,CBC News,Veterans standing up for Standing Rock,31K weergaven,7 jaar geleden,"Connect with CBC News Online: For breaking news, video, audio and in-depth coverage: http://bit.ly/1Z0m6iX Find CBC News on ...",2024-01-22 20:09:02.040874
